roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
0.441701598,0.523166193,0.962845197,0.462897527,0.705607477,0.896094849,0.914550747,0.264816878,0.196102282,2
0.429177201,0.524069212,0.978365677,0.512367491,0.761682243,0.924086863,0.936573269,0.233078512,0.163189918,2
0.427022839,0.528198777,0.984971007,0.554770318,0.757009346,0.946910836,0.958039857,0.195193086,0.123915597,2
0.423312277,0.533054562,0.985991536,0.586572438,0.752336449,0.964407332,0.974128429,0.157254,0.084689957,2
0.391946859,0.583746011,0.984729716,0.604240283,0.73364486,0.974966506,0.983523053,0.125462584,0.052592515,2
0.374734561,0.647190707,0.976957181,0.639575972,0.691588785,0.982759913,0.989870513,0.088374733,0.033758265,2
0.377792825,0.676627557,0.968219229,0.667844523,0.621495327,0.985254993,0.991123609,0.059598615,0.020857331,2
0.421219751,0.701040316,0.9591658,0.671378092,0.61682243,0.985262727,0.991112239,0.043436744,0.018055996,2
0.437383044,0.679176958,0.95273029,0.650176678,0.602803738,0.985269866,0.991112239,0.033050584,0.018086975,2
0.444457472,0.600738029,0.957890415,0.586572438,0.630841121,0.985266297,0.991127199,0.031673121,0.018086975,2
0.464974459,0.561766833,0.968863492,0.540636042,0.668224299,0.985258563,0.99114575,0.031673121,0.018105309,2
0.474823231,0.566647829,0.972257595,0.505300353,0.691588785,0.985258563,0.99114575,0.031673121,0.018098987,2
0.476143141,0.576844214,0.97142749,0.487632509,0.719626168,0.985258563,0.99114575,0.031673121,0.018098987,2
0.470953527,0.578765094,0.971178142,0.48409894,0.728971963,0.985254993,0.99114575,0.031673121,0.018098987,2
0.467008197,0.570321069,0.971696757,0.505300353,0.719626168,0.985254993,0.99114575,0.031679219,0.018098987,2
0.451174653,0.57922245,0.972211219,0.508833922,0.714953271,0.985251424,0.99114575,0.031679219,0.018098987,2
0.446255196,0.577992869,0.970808491,0.533568905,0.714953271,0.985251424,0.99114575,0.031679219,0.018098987,2
0.417674977,0.587564358,0.972597997,0.522968198,0.719626168,0.985251424,0.99114216,0.031679219,0.018098987,2
0.465928427,0.557347611,0.973512547,0.512367491,0.705607477,0.985251424,0.991131388,0.031679219,0.018068641,2
0.416514293,0.573437826,0.976053652,0.498233216,0.714953271,0.985251424,0.991131388,0.031679219,0.018123643,2
0.468870886,0.58161603,0.972107616,0.455830389,0.73364486,0.985247854,0.991131388,0.031673121,0.018117321,2
0.473733548,0.562778635,0.971741524,0.409893993,0.728971963,0.985247854,0.991134979,0.031673121,0.018098987,2
0.463502801,0.565937588,0.972878205,0.431095406,0.719626168,0.985247854,0.991134979,0.031673121,0.018123643,2
0.433770758,0.544739894,0.97576056,0.487632509,0.696261682,0.985244285,0.99114575,0.031673121,0.018123643,2
0.462055843,0.534239354,0.980515084,0.466431095,0.724299065,0.985244285,0.99114575,0.031673121,0.018068641,2
0.435235328,0.537984632,0.979047242,0.45229682,0.73364486,0.985244285,0.99114216,0.031673121,0.018068641,2
0.435055223,0.541904487,0.982106963,0.441696113,0.73364486,0.985244285,0.99114216,0.031673121,0.018129333,2
0.443243758,0.520785338,0.983997955,0.424028269,0.719626168,0.985244285,0.99114216,0.031673121,0.018092665,2
0.496985585,0.5416302,0.97864851,0.4204947,0.710280374,0.985244285,0.99114216,0.031625559,0.018098987,2
0.439701394,0.56568063,0.976269085,0.431095406,0.719626168,0.985244285,0.99114216,0.031637755,0.018098987,2
0.451033621,0.572362849,0.973178165,0.4204947,0.724299065,0.985244285,0.99114216,0.031661535,0.018098987,2
0.459639825,0.550045177,0.974942914,0.409893993,0.719626168,0.985244285,0.991138569,0.031667023,0.018098987,2
0.486308232,0.537494366,0.975739196,0.427561837,0.700934579,0.985247854,0.991131388,0.031673121,0.018098987,2
0.480674365,0.536501532,0.974870341,0.48409894,0.654205607,0.985251424,0.991127199,0.031673121,0.018092665,2
