roll_degree,pitch_degree,yaw_degree,left_pressure,right_pressure,left_hip_joint,right_hip_joint,left_knee_joint,right_knee_joint,targets
-1.351908,-82.458649,338.811951,186,-26,2.50E-05,-0.214112,0.115839,0.781363,2
-3.189663,-84.937424,341.555908,200,-24,1.90E-05,-0.29503,0.129915,0.926934,2
-2.045075,-86.857353,345.036804,204,-26,-6.00E-06,-0.338393,0.137535,1.026845,2
-2.491775,-87.511871,346.696869,201,-26,-7.50E-05,-0.356198,0.139135,1.042182,2
-3.743703,-87.835892,348.379486,199,-26,1.90E-05,-0.359214,0.139474,0.969745,2
-3.431166,-88.204956,349.447571,202,-26,2.50E-05,-0.363826,0.13961,0.830232,2
-3.311504,-89.24894,350.72699,206,-27,2.50E-05,-0.371448,0.139619,0.688141,2
-3.390582,-89.984062,352.282043,207,-26,-4.40E-05,-0.373162,0.139571,0.544324,2
-3.351881,-90.433006,353.223328,207,-26,-3.70E-05,-0.373499,0.139532,0.400051,2
-3.361171,-90.868523,354.707855,207,-27,1.20E-05,-0.373617,0.139581,0.279549,2
-3.507864,-91.207809,355.223267,207,-26,1.20E-05,-0.373642,0.139619,0.146696,2
-2.819174,-91.20491,355.286255,206,-25,1.20E-05,-0.373648,0.139629,0.088452,2
-2.720905,-91.71759,355.663483,205,-25,1.20E-05,-0.373661,0.13961,0.100958,2
-2.335396,-91.353539,356.171692,205,-25,-3.70E-05,-0.373605,0.139522,0.11199,2
-2.250869,-90.660126,354.811066,207,-25,2.50E-05,-0.373654,0.13961,0.114346,2
-2.171825,-90.353928,353.70166,207,-24,2.50E-05,-0.373661,0.139629,0.11485,2
-2.063691,-90.118073,352.704834,207,-23,-6.00E-06,-0.373654,0.139629,0.114976,2
-1.547969,-89.899292,351.985107,208,-25,-3.10E-05,-0.373605,0.139552,0.115015,2
-1.55568,-89.771187,351.713867,207,-25,-2.50E-05,-0.373654,0.139542,0.114996,2
-2.056991,-89.844604,351.640411,204,-25,1.90E-05,-0.373654,0.139571,0.114986,2
-2.203708,-90.092888,351.977631,204,-24,1.90E-05,-0.373636,0.139629,0.115005,2
-2.0949,-90.468681,352.515411,203,-25,-2.50E-05,-0.373642,0.139629,0.115025,2
-2.091487,-90.622154,353.144775,199,-25,6.00E-06,-0.373629,0.13961,0.115005,2
-2.757678,-90.875153,353.716278,198,-25,1.20E-05,-0.373642,0.139561,0.114976,2
-3.312307,-91.240311,354.378967,196,-25,6.00E-06,-0.373642,0.139561,0.115015,2
-3.575383,-91.620117,355.473328,194,-25,-6.00E-06,-0.373642,0.139571,0.115025,2
-4.712842,-90.562431,356.584839,200,-26,0,-0.373642,0.139639,0.115025,2
-3.644971,-93.204308,357.271271,202,-24,6.00E-06,-0.373686,0.139648,0.115015,2
-4.047059,-94.760117,191.470596,207,-25,0,-0.373629,0.139561,0.114986,2
-3.633945,-95.327583,49.087059,212,-25,0,-0.373642,0.139552,0.114986,2
-3.36396,-95.585724,19.526218,221,-22,0,-0.373642,0.139561,0.114976,2
-3.939771,-94.982437,9.874883,217,-1,7.50E-05,-0.373679,0.139678,0.114966,2
-0.368127,-93.124687,6.259466,178,30,-0.000106,-0.373567,0.139387,0.115073,2
-1.711874,-87.738861,233.47345,75,44,0.011324,-0.374558,0.156071,0.111922,2
0.184692,-85.194366,314.224426,44,72,0.002867,-0.359314,0.250844,0.118001,2
0.443611,-81.473106,333.637878,36,101,-0.065051,-0.317278,0.394515,0.127298,2
2.664996,-78.841171,335.887939,33,123,-0.156757,-0.262311,0.538749,0.136963,2
3.566278,-77.634857,332.520203,34,130,-0.246363,-0.208104,0.682586,0.13896,0
3.465971,-77.952957,330.539856,34,134,-0.322532,-0.161805,0.826005,0.139474,0
3.257167,-79.147011,328.215698,34,137,-0.35851,-0.114809,0.918141,0.139532,0
2.364245,-81.331894,327.172302,34,138,-0.362461,-0.061785,0.923997,0.13959,0
0.85102,-83.967087,330.084229,34,133,-0.36124,-0.015138,0.843872,0.13959,0
2.10293,-85.567551,333.643463,34,131,-0.374253,0.007105,0.702072,0.13959,0
3.86743,-87.916718,336.325378,34,130,-0.380154,0.013031,0.558245,0.13959,0
2.390189,-89.509323,338.763733,40,126,-0.381332,0.01434,0.414408,0.13959,0
1.848086,-91.131935,342.758484,40,123,-0.381694,0.014577,0.293877,0.13959,0
2.62567,-92.725807,347.197449,40,120,-0.381781,0.014683,0.152717,0.13959,0
2.559056,-92.589973,349.201447,40,121,-0.381775,0.014652,0.071865,0.13959,0
2.75862,-93.012642,350.193298,40,120,-0.381868,0.01477,0.069752,0.13959,0
1.539859,-93.336487,351.494965,40,122,-0.381769,0.014664,0.083615,0.139581,0
1.146774,-93.364487,352.016449,40,124,-0.381787,0.014677,0.086416,0.139581,0
1.58538,-93.561508,352.736053,40,125,-0.38185,0.014739,0.087017,0.139581,0
1.496794,-93.667,353.24881,40,125,-0.381781,0.014739,0.087143,0.139581,0
1.321076,-93.626259,353.511963,42,124,-0.381775,0.014664,0.087182,0.139581,0
1.406234,-93.689079,353.451233,40,125,-0.381781,0.01467,0.087182,0.13959,0
1.509854,-93.71273,353.612549,41,125,-0.381818,0.014695,0.087172,0.139619,0
